series,model,parameter,value
temperature_driver,Gaussian,mu,0.00464896922691595
temperature_driver,Gaussian,sigma,1.382279921283192
temperature_driver,NIG,scipy_a,0.42366556466983785
temperature_driver,NIG,scipy_b,-0.016496305966612255
temperature_driver,NIG,loc,0.03878565665295373
temperature_driver,NIG,scale,0.8771197047831356
temperature_driver,NIG,alpha,0.48301909347092764
temperature_driver,NIG,beta,-0.018807359903846764
temperature_driver,NIG,delta,0.8771197047831356
temperature_driver,NIG,mu,0.03878565665295373
price_marginal_driver,Gaussian,mu,2.3687531277481442e-05
price_marginal_driver,Gaussian,sigma,0.7599422050729121
price_marginal_driver,NIG,scipy_a,0.31308576963922063
price_marginal_driver,NIG,scipy_b,-0.032265194446304296
price_marginal_driver,NIG,loc,0.04029256363424574
price_marginal_driver,NIG,scale,0.38844263518957767
price_marginal_driver,NIG,alpha,0.8060025889959802
price_marginal_driver,NIG,beta,-0.08306295839682329
price_marginal_driver,NIG,delta,0.38844263518957767
price_marginal_driver,NIG,mu,0.04029256363424574
price_idiosyncratic_driver,Gaussian,mu,2.047328120008118e-05
price_idiosyncratic_driver,Gaussian,sigma,1.0000933267991479
price_idiosyncratic_driver,NIG,scipy_a,0.31330270669194804
price_idiosyncratic_driver,NIG,scipy_b,-0.03234536547118637
price_idiosyncratic_driver,NIG,loc,0.05307242510785595
price_idiosyncratic_driver,NIG,scale,0.5113897759597233
price_idiosyncratic_driver,NIG,alpha,0.6126495315710487
price_idiosyncratic_driver,NIG,beta,-0.06324992596984157
price_idiosyncratic_driver,NIG,delta,0.5113897759597233
price_idiosyncratic_driver,NIG,mu,0.05307242510785595
