series,model,parameter,value
temperature_ou_driver,Gaussian,mu,0.002684289657060339
temperature_ou_driver,Gaussian,sigma,0.9671589232233029
temperature_ou_driver,NIG,scipy_a,0.9014458371992424
temperature_ou_driver,NIG,scipy_b,-0.11547904366875097
temperature_ou_driver,NIG,loc,0.11805436195422253
temperature_ou_driver,NIG,scale,0.8931854186315346
temperature_ou_driver,NIG,alpha,1.0092482684954305
temperature_ou_driver,NIG,beta,-0.12928899337125152
temperature_ou_driver,NIG,delta,0.8931854186315346
temperature_ou_driver,NIG,mu,0.11805436195422253
price_ou_driver,Gaussian,mu,0.00010140411874964367
price_ou_driver,Gaussian,sigma,0.995144323506097
price_ou_driver,NIG,scipy_a,0.2968531701090021
price_ou_driver,NIG,scipy_b,-0.02814155923690197
price_ou_driver,NIG,loc,0.047464964937718165
price_ou_driver,NIG,scale,0.49703297740168645
price_ou_driver,NIG,alpha,0.5972504513902599
price_ou_driver,NIG,beta,-0.056619098764866954
price_ou_driver,NIG,delta,0.49703297740168645
price_ou_driver,NIG,mu,0.047464964937718165
price_ou_driver,Merton_threshold,sigma_diffusion,0.5883595672772776
price_ou_driver,Merton_threshold,jump_intensity,0.057648401826484015
price_ou_driver,Merton_threshold,jump_mean,-0.006204155665361147
price_ou_driver,Merton_threshold,jump_sigma,3.3952393275570834
price_ou_driver,Merton_threshold,jump_threshold,1.6982082282370028
price_ou_driver,Merton_threshold,n_jumps,1515.0
price_ou_idiosyncratic_driver,Gaussian,mu,0.00017870608049850046
price_ou_idiosyncratic_driver,Gaussian,sigma,0.9951135540524889
price_ou_idiosyncratic_driver,NIG,scipy_a,0.29622798590345595
price_ou_idiosyncratic_driver,NIG,scipy_b,-0.027643257494458867
price_ou_idiosyncratic_driver,NIG,loc,0.04674887952319668
price_ou_idiosyncratic_driver,NIG,scale,0.4965814059844228
price_ou_idiosyncratic_driver,NIG,alpha,0.5965345909724785
price_ou_idiosyncratic_driver,NIG,beta,-0.055667121566219106
price_ou_idiosyncratic_driver,NIG,delta,0.4965814059844228
price_ou_idiosyncratic_driver,NIG,mu,0.04674887952319668
price_ou_idiosyncratic_driver,Merton_threshold,sigma_diffusion,0.5886169844669064
price_ou_idiosyncratic_driver,Merton_threshold,jump_intensity,0.057420091324200916
price_ou_idiosyncratic_driver,Merton_threshold,jump_mean,-0.0173522820268614
price_ou_idiosyncratic_driver,Merton_threshold,jump_sigma,3.400854462968083
price_ou_idiosyncratic_driver,Merton_threshold,jump_threshold,1.696614143368111
price_ou_idiosyncratic_driver,Merton_threshold,n_jumps,1509.0
