component,parameter,value
global,model_family,coupled_OU
global,dt_hours,1.0
temperature_state,kappa_T,0.0143769
temperature_state,b_T,1.0
temperature_state,sigma_T,0.64279
temperature_driver,distribution,Gaussian
temperature_driver,mu,0.002684289657060339
temperature_driver,sigma,0.9671589232233029
price_state,kappa_X,0.0790154
price_state,b_X,1.0
price_state,lambda,-0.0005972807596713877
price_state,lambda_sigma_T,-0.0003839260995091713
price_state,sigma_J,0.013338976010178432
price_idiosyncratic_driver,distribution,NIG
price_idiosyncratic_driver,alpha,0.5965345909724785
price_idiosyncratic_driver,beta,-0.055667121566219106
price_idiosyncratic_driver,delta,0.4965814059844228
price_idiosyncratic_driver,mu,0.04674887952319668
