series,p,q,screening_step_hours,screening_model,loglik,AIC,BIC,optimizer_success,lb_pvalue_24,lb_pvalue_48,lb_pvalue_72,innov_mean,innov_std
temperature,3,1,6,arma,-14900.159375348125,29810.31875069625,29844.80237528374,True,8.812855394659359e-97,5.479171604920444e-101,5.686413644985023e-93,-0.0034586631765661,1.85877266493331
temperature,3,0,6,arma,-14909.78202238053,29827.56404476106,29855.15094443105,True,3.09000101462636e-104,3.853896983692316e-109,6.190676867461603e-101,-0.0035707537452351,1.8612214295954577
temperature,2,0,6,arma,-15009.472654143929,30024.945308287854,30045.635483040347,True,1.7247816831822868e-190,4.5089268610131055e-202,5.941089026455041e-193,-0.0041543819704164,1.8867835608172407
temperature,2,1,6,arma,-15008.493516317663,30024.987032635327,30052.57393230532,True,3.735100113870053e-190,3.222931246372245e-201,8.100726728145205e-192,-0.0043992697630377,1.8865340413062544
temperature,1,0,6,arma,-15036.799713343818,30077.59942668764,30091.39287652264,True,8.084476435037689e-191,1.7034995715964367e-201,7.25716227817513e-192,-0.0044797664523401,1.8938516336719269
logprice,3,2,6,arma,6078.759590500609,-12145.519181001218,-12109.634934076,True,1.1528193560531998e-24,9.758222070590298e-46,4.7324452976727245e-61,0.0007295625629954259,0.030245446627060826
logprice,3,1,6,arma,6057.031646296915,-12104.06329259383,-12074.15975348948,False,2.830381976468008e-32,3.089215044095862e-53,3.236610933051219e-69,0.000678606774294497,0.030472217405425717
logprice,2,1,6,arma,6055.170028423278,-12102.340056846557,-12078.417225563078,True,1.0845669280273722e-31,1.659764548038345e-51,8.84607959331299e-67,0.0007874285099349408,0.030489127125609628
logprice,3,0,6,arma,6037.939648122013,-12067.879296244026,-12043.956464960547,True,1.4480011272900525e-39,3.536575229140253e-62,7.448112834403823e-80,0.000932010405422202,0.03066533136800455
logprice,2,0,6,arma,6027.4836376732,-12048.9672753464,-12031.02515188379,True,1.2998212396954139e-48,3.4244476443902113e-75,4.459431492448564e-95,0.0010127662102376379,0.030772715375501945
logprice,1,0,6,arma,5918.947514051084,-11833.895028102168,-11821.933612460429,True,3.2859698940939746e-108,6.1478641120916766e-142,1.8141692482222768e-169,0.0013728465460192505,0.0319240343407063
